Office Name,Country,Office Address,Post/ZIP Code,Latitude,Longitude
Singapore,Singapore,51 GOLDHILL PLAZA #11-01/02 SINGAPORE 308900,308900,1.318319154,103.8429431
Kaiserslautern,Germany,"Kantstraße 6, 67663 Kaiserslautern, Germany",67663,49.43786734,7.781525238
Cape Canaveral,United States,"8910 Astronaut Blvd, Cape Canaveral, FL 32920, USA",FL 32920,"28.398979772822827, ",-80.61364051
Southfield,United States,"27777 Franklin Rd, Southfield, MI 48034, United States",MI 48034,"42.490167620089466, ",-83.29933874
Heusenstamm,Germany,"Werner-von-Siemens-Str. 29, c/o Dr. Sabel & Partner, 63150 Heusenstamm, Germany",63150,50.04741171,8.802123474
Reston,United States,"1851 Alexander Bell Dr STE 300, Reston, VA 20191, United States",VA 20191,38.94369607,-77.32376796
Toronto,Canada,"79 Wellington St W 30th Floor, Toronto, ON M5J 2N7, Canada",ON M5J 2N7,43.64676205,-79.38127023
Chalk River,Canada,"286 Plant Rd, Chalk River, ON K0J 1P0, Canada",K0J 1P0,46.02244722,-77.43241935
Tullahoma,United States,"600 William Northern Blvd, Tullahoma, TN 37388, USA",TN 37388,35.38003301,-86.2369506
Mclean,United States,"1700 Old Meadow Road, McLean, VA 22102, United States.",VA 22102,38.92231764,-77.21215116
Arlington,United States,"4121 Wilson Blvd Suite 200, Arlington, VA 22203, United States",VA 22203,38.88032973,-77.11013568
West Valley,United States,"10282 Rock Springs Rd, West Valley, NY 14171, USA",NY 14171,"42.44912020639537, ",-78.65587679
Lyon,France,"47 Rue Maurice Flandin, 69003 Lyon, France",69003,45.75784945,4.862945519
Arlington,United States,"1320 N Courthouse Rd #700, Arlington, VA 22201, USA", VA 22201,38.88895147,-77.08475015
Lincoln,United States,"901 Lincoln Dr W #200, Marlton, NJ 08053, USA",NJ 08053,"39.91350946144609, ",-74.94341444
Irving,United States,"8445 Freeport Pkwy, Irving, TX 75063, United States",TX 75063,"32.92354519668388, ",-97.01918544
Falls Church,United States,"3190 Fairview Park Dr #900, Falls Church, VA 22042, USA",VA 22042,38.86271887,-77.21433352
Reston,United States,"11710 Plaza America Dr #600, Reston, VA 20190, USA",VA 20190,38.95249817,-77.35071237
Idaho Falls,United States,"1580 Sawtelle St, Idaho Falls, ID 83402, United States",ID 83402,43.50724179,-112.0607075
McDonough,United States,"46 Liberty Industrial Parkway McDonough, GA 30248",GA 30248,33.40551415,-84.16493167
Melbourne,Australia,"452 Flinders St, Melbourne VIC 3000, Australia",VIC 3000,-37.81941826,144.9585288
Margate,United States,"1700 Banks Rd # 5, Margate, FL 33063, United States",FL 33063,26.25194337,-80.19399603
Las Vegas,United States,"811 Grier Dr, Las Vegas, NV 89119, USA",NV 89119,36.06956029,-115.1458501
Arlington,United States,"1320 N Courthouse Rd STE 800, Arlington, VA 22201, United States",VA 22201,38.88895189,-77.08475305
Las Vegas,United States,"2621 Losee Road Las Vegas, NV 89030 United States",NV 89030,36.20683203,-115.1358773
Falls Church,United States,"7799 Leesburg Pike #300, Falls Church, VA 22043, USA",VA 22043,38.90691426,-77.2159952
Los Angeles,United States,"6060 Center Dr 10th Floor, Los Angeles, CA 90045, United States",CA 90045,33.97599851,-118.3909116
Mexico City,Mexico,"Edificio Moncayo, Av. P.º de la Reforma 404, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",6600,19.42499706,-99.1704841
Aiken,United States,"203 Laurens St SW, Aiken, SC 29801, United States",SC 29801,33.55936189,-81.72380931
Aiken,United States,"Aiken, SC 29803, United States",SC 29803,33.29238687,-81.64419406
Herndon,United States,"2121 Cooperative Way, Herndon, VA 20171, USA",VA 20171,38.95421888,-77.40083709
Alexandria,United States,"1800 Diagonal Rd, Alexandria, VA 22314, USA",VA 22314,38.80565438,-77.06031721
Hanover,United States,"7740 Milestone Pkwy, Hanover, MD 21076, USA",MD 21076,39.15145896,-76.74835609
Aiken,United States,"106 Newberry St SW, Aiken, SC 29801, United States",SC 29801,33.5601051,-81.72083665
Richland,United States,"2620 Fermi Ave, Richland, WA 99354, USA",WA 99354,46.32668177,-119.2801267
West Valley,United States,"10282 Rock Springs Rd, West Valley, NY 14171, United States",NY 14171,42.44968182,-78.65607504
Columbia,United States,"9755 Patuxent Woods Dr, Columbia, MD 21046, USA",MD 21046,39.17609959,-76.85142159
